Pair,Strategy,Factor,Bucket,Trades,WinRate%,Exp(R),PF,Stable_Years%,Valid_Sample,Yearly_Exp_R
GBPUSD,VE_BO,combined_regime,CHOPPY__EXPANSION,93,31.18,-0.273,0.76,0.0,True,"{np.int64(2023): -0.051, np.int64(2024): -0.556, np.int64(2025): -0.079, np.int64(2026): -0.672}"
GBPUSD,VE_BO,combined_regime,STRONG_BULL__EXPANSION,24,29.17,-0.326,0.65,33.3,False,"{np.int64(2023): 0.412, np.int64(2024): -0.605, np.int64(2025): -0.79, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,STRONG_BEAR__NORMAL_VOL,22,27.27,-0.413,0.64,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): -0.018, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,CHOPPY__LOW_VOL,244,28.69,-0.414,0.59,0.0,True,"{np.int64(2023): -0.258, np.int64(2024): -0.712, np.int64(2025): -0.404, np.int64(2026): -0.206}"
GBPUSD,VE_BO,combined_regime,WEAK_BULL__LOW_VOL,34,26.47,-0.464,0.47,0.0,True,"{np.int64(2023): -0.684, np.int64(2024): -0.139, np.int64(2025): -0.24, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,CHOPPY__NORMAL_VOL,67,25.37,-0.484,0.5,0.0,True,"{np.int64(2023): -0.802, np.int64(2024): -0.599, np.int64(2025): -0.246, np.int64(2026): -0.019}"
GBPUSD,VE_BO,combined_regime,STRONG_BEAR__HIGH_VOL,5,20.0,-0.53,0.35,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,combined_regime,WEAK_BEAR__LOW_VOL,33,21.21,-0.6,0.36,0.0,True,"{np.int64(2023): -0.604, np.int64(2024): -0.52, np.int64(2025): -0.339, np.int64(2026): -0.905}"
GBPUSD,VE_BO,combined_regime,STRONG_BEAR__EXPANSION,23,17.39,-0.701,0.35,0.0,False,"{np.int64(2023): -0.698, np.int64(2024): -1.271, np.int64(2025): -0.347, np.int64(2026): -0.633}"
GBPUSD,VE_BO,combined_regime,WEAK_BEAR__EXPANSION,13,15.38,-0.726,0.35,0.0,False,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): None, np.int64(2026): None}"
GBPUSD,VE_BO,session,NY_LATE,19,31.58,-0.243,0.77,33.3,False,"{np.int64(2023): -0.733, np.int64(2024): 0.05, np.int64(2025): -0.087, np.int64(2026): None}"
GBPUSD,VE_BO,session,LONDON,406,32.02,-0.301,0.72,0.0,True,"{np.int64(2023): -0.28, np.int64(2024): -0.609, np.int64(2025): -0.031, np.int64(2026): -0.267}"
GBPUSD,VE_BO,session,OVERLAP,292,28.77,-0.352,0.62,0.0,True,"{np.int64(2023): -0.121, np.int64(2024): -0.559, np.int64(2025): -0.507, np.int64(2026): -0.151}"
GBPUSD,VE_BO,day_of_week,Tuesday,150,38.67,-0.088,0.96,75.0,True,"{np.int64(2023): 0.128, np.int64(2024): -0.679, np.int64(2025): 0.236, np.int64(2026): 0.028}"
GBPUSD,VE_BO,day_of_week,Monday,115,31.3,-0.322,0.72,25.0,True,"{np.int64(2023): -0.53, np.int64(2024): -0.562, np.int64(2025): 0.0, np.int64(2026): 0.328}"
GBPUSD,VE_BO,day_of_week,Wednesday,153,28.76,-0.372,0.58,0.0,True,"{np.int64(2023): -0.258, np.int64(2024): -0.37, np.int64(2025): -0.269, np.int64(2026): -0.667}"
GBPUSD,VE_BO,day_of_week,Thursday,164,28.05,-0.381,0.62,0.0,True,"{np.int64(2023): -0.11, np.int64(2024): -0.662, np.int64(2025): -0.464, np.int64(2026): -0.3}"
GBPUSD,VE_BO,day_of_week,Friday,135,26.67,-0.442,0.56,25.0,True,"{np.int64(2023): -0.489, np.int64(2024): -0.558, np.int64(2025): -0.502, np.int64(2026): 0.021}"
GBPUSD,VE_BO,spread_bucket,High (>1.5p),76,35.53,-0.169,0.73,0.0,True,"{np.int64(2023): None, np.int64(2024): None, np.int64(2025): -0.169, np.int64(2026): None}"
GBPUSD,VE_BO,spread_bucket,Medium (1.0-1.5p),641,30.11,-0.338,0.67,0.0,True,"{np.int64(2023): -0.235, np.int64(2024): -0.57, np.int64(2025): -0.247, np.int64(2026): -0.204}"
GBPUSD,VE_BO,htf_alignment,ALIGNED,255,34.51,-0.196,0.76,0.0,True,"{np.int64(2023): -0.111, np.int64(2024): -0.307, np.int64(2025): -0.123, np.int64(2026): -0.283}"
GBPUSD,VE_BO,htf_alignment,OPPOSED,214,29.44,-0.351,0.71,25.0,True,"{np.int64(2023): -0.238, np.int64(2024): -0.668, np.int64(2025): -0.394, np.int64(2026): 0.004}"
